"id";"titulo";"descricao";"diretor";"posterpath";"popularidade";"data_lancamento";"id_genero"
1;"Venom";"Eddie Brock (Tom Hardy) é um jornalista investigativo, que tem um quadro próprio em uma emissora local. Um dia, ele é escalado para entrevistar Carlton Drake (Riz Ahmed), o criador da Fundação Vida, que tem investido bastante em missões espaciais de forma a encontrar possíveis usos medicinais para a humanidade. Após acessar um documento sigiloso enviado à sua namorada, a advogada Anne Weying (Michelle Williams), Brock descobre que Drake tem feito experimentos científicos em humanos. Ele resolve denunciar esta situação durante a entrevista, o que faz com que seja demitido. Seis meses depois, o ainda desempregado Brock é procurado pela dra. Dora Skirth (Jenny Slate) com uma denúncia: Drake estaria usando simbiontes alienígenas em testes com humanos, muitos deles mortos como cobaias.";"Ruben Fleischer";"https://image.tmdb.org/t/p/w400/wdcc8n9BB5gO5Y7zIhHLSzxSTc6.jpg";363.22;"2018-10-02";878
2;"Halloween";"Uma equipe de documentários britânica viaja aos EUA para visitar Michael na prisão, para uma retrospectiva sobre a noite de terror, mas seu projeto entra em caos e se torna mais interessante quando Michael escapa da custódia, recupera sua antiga máscara e busca vingança de Laurie, fazendo outras vítimas em seu caminho.";"David Gordon Green";"https://image.tmdb.org/t/p/w400/1KtkRCnCoQS22VZFGm0gph3QdL4.jpg";293.33;"2018-10-17";27
3;"Nanatsu no Taizai : Prisioneiros do Céu";"Os Sete Pecados Capitais viajam para uma terra remota em busca do ingrediente conhecido como “peixe celestial”. Meliodas e Hawk acabam no “Palácio dos Céus” que existe acima das nuvens, e é habitado por seres alados. Após a sua chegada, Meliodas é confundido com um menino que cometeu um crime e acaba sendo preso. Enquanto isso, os moradores estão preparando uma cerimônia de defesa contra uma besta feroz que desperta uma vez a cada 3.000 anos. No entanto, os Seis Cavaleiros de Preto, um exército do clã demoníaco, remove o selo da besta para ameaçar a vida dos moradores do Palácio. Meliodas e seus aliados enfrentarão esses cavaleiros em um campo de batalha.";"Noriyuki Abe; Yasuto Nishikata";"https://image.tmdb.org/t/p/w400/lgYGPujZNckyKwQQNwMLmkWoKui.jpg";182.24;"2018-08-17";28
4;"Nasce Uma Estrela";"Nesta releitura da trágica história de amor, Cooper interpreta o experiente músico Jackson Maine, que descobre a artista desconhecida Ally (Gaga), por quem se apaixona. Ela está prestes a desistir de seu sonho de se tornar uma cantora de sucesso... até que Jack a convence a mudar de ideia. Porém, apesar de a carreira de Ally decolar, o relacionamento pessoal entre os dois começa a desandar, à medida que Jack luta contra seus próprios demônios.";"Bradley Cooper";"https://image.tmdb.org/t/p/w400/dpwzjPN6VfACHYNomHUfOuwhSyV.jpg";166.75;"2018-10-10";18
5;"A Freira";"Quando uma jovem freira em uma abadia de clausura na Romênia tira a própria vida, um padre com um passado assombrado e uma noviça no limiar de seus votos finais são enviados pelo Vaticano para investigar o caso. Juntos, eles descobrem o segredo profano da ordem. Arriscando não apenas suas vidas, mas sua fé e suas próprias almas, eles enfrentam uma força maléfica na forma da mesma freira demoníaca que primeiro aterrorizou o público em ""Invocação do Mal 2"", enquanto a abadia se torna um campo de batalha horrível entre os vivos e os condenados.";"Corin Hardy";"https://image.tmdb.org/t/p/w400/9ShELeGBnk5HYgI0cLfDuS4JMb3.jpg";162.34;"2018-09-05";27
6;"Os Incríveis 2";"A família de super-heróis favorita de todo mundo está de volta em Os Incríveis 2, mas dessa vez, Helena está sendo o destaque, deixando Bob em casa com Violeta e Flecha para se aventurar no dia a dia heroico de vida “normal”. É uma transição difícil para todo mundo, sendo os super poderes emergentes de Zezé o fator mais complicado. Quando um novo vilão traça uma trama brilhante e perigosa, a família e Gelado devem encontrar uma maneira de trabalhar juntos novamente, o que é mais fácil dizer do que fazer, mesmo quando são incríveis.";"Brad Bird";"https://image.tmdb.org/t/p/w400/y3EEb7o6NxK0pl0WsOswCos663y.jpg";158.57;"2018-06-27";28
7;"22 Milhas";"Depois de ser auxiliado por uma unidade de comando tático ultrassecreta, um agente da CIA (Mark Wahlberg) tem que transportar um informante da Indonésia do centro da cidade para o refúgio em um aeroporto a 22 milhas de distância.";"Peter Berg";"https://image.tmdb.org/t/p/w400/fcHq8q0cW49YlACLhwtknMtBv23.jpg";128.57;"2018-09-19";28
8;"Megatubarão";"Na fossa mais profunda do Oceano Pacífico, a tripulação de um submarino fica presa dentro do local após ser atacada por uma criatura pré-histórica que se achava estar extinta, um tubarão de mais de 20 metros de comprimento, o Megalodon. Para salvá-los, oceanógrafo chinês (Winston Chao) contrata Jonas Taylor (Jason Statham), um mergulhador especializado em resgates em água profundas que já encontrou com a criatura anteriormente.";"Jon Turteltaub";"https://image.tmdb.org/t/p/w400/wrJkShDPK4TcV0nHix3HASEmkul.jpg";121.31;"2018-08-08";28
9;"O Protetor 2";"Massachusetts, Estados Unidos. Robert McCall (Denzel Washington) agora trabalha como motorista, ajudando pessoas que enfrentam dificuldades decorrentes de injustiças. Quando sua amiga Susan Plummer (Melissa Leo) é morta durante a investigação de um assassinato na Bélgica, ele decide sair do anonimato e encontrar seu antigo parceiro, Dave (Pedro Pascal), no intuito de encontrar pistas sobre o autor do crime.";"Antoine Fuqua";"https://image.tmdb.org/t/p/w400/u0DUm4qmKatWVJiMpGYG3Bvyp2L.jpg";120.5;"2018-08-15";53
10;"Night School";"";"Malcolm D. Lee";"https://image.tmdb.org/t/p/w400/1NSMAaBPSbWv7sGmF8oLGMNb8Qm.jpg";119.32;"2018-09-26";35
